bucket,total,--,AE,AM,AR,AT,AU,AZ,BA,BD,BE,BG,BH,BO,BR,BY,BZ,CA,CH,CI,CL,CM,CN,CO,CR,CY,CZ,DE,DK,DO,DZ,EC,EE,EG,ES,FI,FR,GB,GR,GT,HK,HR,HU,ID,IE,IL,IN,IQ,IR,IS,IT,JO,JP,KH,KR,KW,KZ,LA,LB,LT,LU,LV,MA,MC,MD,MK,MM,MO,MW,MX,MY,NC,NG,NL,NO,NP,NZ,PE,PH,PK,PL,PT,PY,QA,RO,RU,RW,SA,SC,SE,SG,SI,SK,TG,TH,TL,TN,TR,TW,TZ,UA,US,UY,UZ,VE,VI,VN,ZA,ZM
2023-12-04T08,92,2,0,0,0,0,0,1,0,1,0,1,0,0,3,0,0,1,0,0,0,0,16,0,0,0,0,4,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,1,0,0,1,0,0,0,1,0,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,5,0,0,2,0,0,0,2,0,0,0,0,2,0,0,0,0,5,0,0,0,4,0,0,0,0,0,0,32,0,0,0,0,0,0,0
2023-12-04T09,83,1,0,0,0,0,0,1,0,0,0,0,0,0,5,0,0,1,0,0,0,0,5,0,0,0,0,9,0,0,0,0,0,0,0,0,2,2,0,0,2,0,0,1,0,0,2,0,0,1,2,0,5,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,1,5,0,0,0,3,0,0,0,1,0,0,22,0,0,0,0,1,0,0
2023-12-04T10,97,1,0,0,1,1,0,1,0,0,0,0,0,0,4,0,0,2,2,0,0,0,5,1,0,0,1,11,0,0,0,0,0,0,1,0,2,4,0,0,2,0,1,1,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,3,0,0,2,0,0,0,0,1,0,0,0,5,0,0,0,0,6,0,0,0,3,0,0,1,1,0,0,23,0,0,0,0,2,1,0
2023-12-04T11,92,1,0,0,1,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,6,0,0,0,0,7,0,0,0,0,0,0,2,0,3,2,0,0,4,0,0,2,0,0,1,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,0,0,5,0,0,0,0,0,0,1,1,0,0,0,7,0,0,0,0,5,0,0,0,1,0,0,1,4,0,1,23,0,0,0,0,1,0,0
2023-12-04T12,92,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,13,0,0,0,0,7,0,0,0,0,0,0,1,0,3,2,0,0,1,0,0,1,0,0,3,1,0,0,1,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,4,0,0,1,0,0,0,2,0,0,0,1,6,0,0,0,0,6,0,0,0,2,0,0,0,7,0,0,19,0,0,0,0,0,0,0
2023-12-04T13,84,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,11,0,0,0,0,10,0,0,0,0,0,0,1,0,2,4,0,0,0,0,0,1,0,0,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,5,2,0,0,3,0,0,0,3,0,0,26,0,0,0,0,1,0,0
2023-12-04T14,103,0,0,0,0,0,0,0,0,1,1,0,0,0,2,0,0,3,0,0,0,0,9,0,0,0,0,13,0,0,0,0,0,0,1,0,6,7,0,0,4,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,10,0,0,1,0,0,0,1,0,0,0,2,3,0,0,0,0,6,0,0,0,7,0,0,0,3,0,0,21,0,0,0,0,0,0,0
2023-12-04T15,121,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,2,0,0,0,6,0,0,0,0,16,0,0,0,0,0,0,1,0,6,8,0,0,0,0,0,0,0,0,1,0,1,1,6,0,0,0,2,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,12,1,0,0,0,0,0,1,0,0,0,1,4,0,0,0,2,6,0,0,0,9,0,0,1,2,0,0,25,0,0,0,0,1,0,0
2023-12-04T16,132,2,0,0,0,1,1,0,0,0,0,1,0,0,1,0,0,2,1,0,0,0,3,0,0,0,0,19,0,0,0,0,0,0,1,0,14,8,0,0,1,0,0,0,0,0,1,0,0,0,16,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,6,1,0,0,0,1,0,3,0,0,0,0,3,0,0,0,2,6,0,0,0,7,0,0,0,1,0,0,27,0,0,0,0,1,0,0
2023-12-04T17,148,0,0,0,0,1,0,0,0,0,0,0,0,0,2,0,0,2,1,0,0,1,3,0,0,0,0,33,0,0,0,0,0,0,2,0,9,8,0,0,0,0,0,0,0,0,0,0,0,0,24,0,1,0,2,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,2,0,4,0,0,0,1,2,0,0,0,2,5,0,0,0,9,0,0,0,0,0,0,23,0,0,0,0,1,0,0
