bucket,total,--,AE,AL,AR,AT,AU,AZ,BA,BD,BE,BG,BR,BY,CA,CH,CL,CM,CN,CO,CR,CV,CY,CZ,DE,DK,EC,EE,EG,ES,ET,FI,FR,GB,GH,GR,HK,HU,ID,IE,IL,IN,IQ,IR,IS,IT,JP,KE,KR,KZ,LB,LT,LU,LV,MA,MK,MM,MX,MY,NG,NL,NO,NP,NZ,PA,PE,PH,PK,PL,PS,PT,RO,RS,RU,RW,SA,SC,SE,SG,SI,SK,SV,SY,TH,TN,TR,TW,UA,US,UY,VN,ZA,ZM
2023-09-05T02,91,3,0,0,1,0,0,0,0,0,1,0,2,0,13,0,0,0,3,0,0,0,0,0,2,0,0,0,0,0,0,0,1,2,0,0,1,0,1,0,0,0,0,0,0,1,10,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,3,0,0,0,0,7,0,0,0,0,1,0,0,1,0,33,0,0,0,0
2023-09-05T03,85,2,0,0,2,0,0,0,0,0,0,0,1,0,2,0,0,0,2,0,0,0,0,0,3,0,0,0,0,0,0,0,4,2,0,0,1,0,0,0,0,0,0,0,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,6,0,0,0,0,1,0,0,2,0,53,0,0,0,0
2023-09-05T04,83,3,0,0,1,0,0,0,0,0,0,0,2,0,1,0,0,0,15,0,0,0,0,0,5,0,0,0,0,0,0,0,4,2,0,0,1,0,0,0,0,0,0,0,0,2,0,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,4,6,0,0,0,0,1,0,0,1,0,30,0,0,0,0
2023-09-05T05,68,2,0,0,0,1,0,0,0,0,0,0,2,0,4,1,0,0,13,0,0,0,0,1,3,0,0,0,0,0,0,0,2,3,0,0,1,0,0,0,0,1,0,0,0,1,0,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,1,0,0,0,1,6,0,0,0,0,2,0,0,1,0,16,0,1,0,0
2023-09-05T06,69,2,0,0,0,0,0,0,0,0,0,0,2,0,3,0,0,0,15,0,0,0,0,0,5,0,0,0,0,2,0,0,1,1,0,0,1,0,0,2,0,0,0,0,0,1,3,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,2,5,0,0,0,0,2,0,0,1,0,15,0,1,0,0
2023-09-05T07,114,1,0,0,0,0,1,0,0,0,0,0,2,0,1,0,0,0,14,0,0,1,0,0,7,0,0,0,0,1,0,0,6,1,0,0,1,0,4,3,0,0,1,0,0,1,3,0,2,0,0,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,2,0,0,0,0,2,1,0,0,0,5,0,0,0,0,0,0,1,4,0,45,0,0,0,0
2023-09-05T08,94,3,0,0,0,0,0,0,0,0,0,0,2,0,5,1,0,0,18,0,0,0,0,0,10,0,0,0,0,0,0,0,4,6,0,0,0,0,1,0,0,1,0,0,0,3,3,0,2,0,0,1,0,1,0,0,0,0,0,0,5,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,1,0,0,2,0,19,0,0,0,0
2023-09-05T09,117,1,0,0,0,0,0,0,0,0,0,0,1,0,2,1,0,0,18,0,0,0,0,0,6,0,0,0,0,7,0,0,5,5,0,0,1,0,0,0,0,6,0,0,0,4,2,0,1,0,0,2,0,1,0,0,0,0,2,0,4,0,0,0,0,0,0,0,3,0,1,0,0,2,0,0,0,0,6,0,0,0,0,1,0,0,2,0,33,0,0,0,0
2023-09-05T10,105,2,0,0,1,0,1,0,0,0,0,0,1,0,1,0,0,0,10,0,0,0,0,0,7,0,0,0,0,1,0,0,3,6,0,0,0,0,0,4,0,0,0,0,0,6,13,0,1,0,0,1,0,0,0,0,0,0,0,0,4,0,0,0,0,0,1,0,1,0,0,0,0,3,0,0,0,0,5,0,0,0,0,2,0,0,5,0,25,0,0,1,0
2023-09-05T11,106,2,0,0,0,0,1,0,0,0,0,0,2,0,2,1,0,0,3,0,0,0,0,0,7,0,0,0,0,0,0,0,6,4,0,0,1,0,1,4,0,1,0,0,0,7,11,0,2,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,8,0,0,0,0,2,0,1,10,1,25,0,0,0,0
