bucket,total,--,AE,AL,AM,AR,AT,AU,AZ,BA,BD,BE,BG,BH,BO,BR,BY,CA,CH,CL,CM,CN,CO,CR,CV,CY,CZ,DE,DK,DO,DZ,EC,EE,EG,ES,ET,FI,FR,GB,GE,GH,GR,HK,HR,HU,ID,IE,IL,IN,IR,IS,IT,JP,KE,KG,KH,KR,KZ,LA,LB,LK,LT,LU,LV,LY,MA,MD,MK,MM,MO,MX,MY,NA,NG,NL,NO,NP,NZ,PA,PE,PH,PK,PL,PR,PT,PY,RE,RO,RS,RU,RW,SA,SC,SE,SG,SI,SK,TH,TN,TR,TW,TZ,UA,UG,US,UY,UZ,VE,VN,WS,ZA,ZM,ZW
2023-02-27T08,73,3,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,2,0,0,0,2,0,0,0,0,0,10,2,0,0,0,0,0,3,0,0,2,4,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,7,0,0,2,0,0,1,0,0,0,25,0,0,0,0,0,0,0,0
2023-02-27T09,109,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2,0,0,0,4,1,0,0,0,0,17,1,0,0,0,0,0,2,0,0,5,5,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,1,7,0,0,3,0,0,3,0,0,0,48,0,0,0,0,0,0,0,0
2023-02-27T10,138,1,0,0,0,0,0,0,0,0,0,1,0,0,0,3,0,3,0,0,0,12,1,0,0,0,0,14,0,0,0,0,0,0,3,0,0,7,4,0,0,0,1,0,0,0,0,0,1,0,0,6,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,4,0,0,0,0,0,1,0,0,0,0,0,0,0,0,4,0,0,0,2,6,0,0,3,0,1,2,0,1,0,50,0,0,0,2,0,1,0,0
2023-02-27T11,115,2,0,0,0,1,2,1,0,0,0,1,0,0,0,3,0,4,0,0,0,17,0,0,0,0,0,16,0,0,0,0,0,0,4,0,0,7,5,0,0,0,1,0,0,1,3,0,1,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,1,0,0,1,0,4,0,0,0,2,6,0,0,1,0,1,4,0,1,0,16,0,0,0,2,0,1,0,0
2023-02-27T12,162,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2,0,0,0,18,0,0,0,0,0,13,0,0,0,0,0,0,2,0,0,3,7,0,0,0,2,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,1,0,4,0,0,0,2,6,0,0,7,0,1,4,0,3,0,78,0,0,0,0,0,0,0,0
2023-02-27T13,144,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,2,0,0,17,0,0,0,0,0,17,0,1,0,0,0,0,2,0,0,7,3,0,0,0,2,0,0,0,30,0,0,0,0,4,3,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,1,0,0,0,0,0,0,0,0,5,0,0,0,3,5,0,0,10,0,0,1,0,1,0,18,0,0,0,1,0,0,0,0
2023-02-27T14,149,1,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,4,0,1,0,16,0,0,0,0,0,11,0,0,0,0,0,0,2,0,1,8,7,0,0,0,2,0,0,1,0,0,1,0,0,10,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,0,0,0,0,3,0,0,0,0,0,0,0,0,5,0,0,0,3,5,0,0,7,0,0,2,0,0,0,50,0,0,0,1,0,0,0,0
2023-02-27T15,141,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,18,0,0,0,0,0,18,0,0,0,0,0,0,4,0,0,10,8,0,0,0,0,0,0,0,0,0,1,0,0,7,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,8,1,0,0,0,0,1,0,0,0,0,0,0,1,0,7,0,0,0,4,5,0,0,2,0,1,2,0,1,0,35,0,0,0,0,0,0,0,0
2023-02-27T16,150,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,4,0,0,0,5,0,0,0,0,0,27,0,0,0,0,0,0,4,0,0,10,16,0,0,0,1,0,0,0,0,0,4,0,0,11,3,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0,0,8,1,0,0,0,0,1,0,0,0,0,0,0,0,0,6,0,0,0,1,7,0,0,4,0,1,4,0,1,0,21,0,0,1,1,0,0,0,0
2023-02-27T17,176,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,9,1,0,0,5,0,0,0,0,2,39,0,0,0,0,0,0,6,0,0,11,10,0,0,0,1,0,0,0,0,0,4,0,0,17,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,1,0,0,0,0,1,0,0,0,0,0,0,1,0,4,0,0,0,7,7,0,0,2,0,0,2,0,1,0,29,0,0,0,1,0,0,0,0
