bucket,total,--,AE,AL,AR,AT,AU,AZ,BA,BB,BD,BE,BG,BO,BR,BW,BY,CA,CH,CI,CL,CM,CN,CO,CR,CY,CZ,DE,DK,DO,EC,EE,EG,ES,ET,FI,FR,GB,GE,GH,GR,HK,HR,HU,ID,IE,IL,IN,IQ,IR,IT,JP,KR,KZ,LA,LB,LT,LU,LV,MA,ME,MK,MM,MN,MU,MX,MY,NG,NL,NO,NZ,PA,PE,PH,PK,PL,PT,PY,RO,RS,RU,RW,SA,SC,SE,SG,SK,SO,SR,SY,TG,TH,TR,TW,UA,UG,US,UY,UZ,VE,VN,ZA
2023-09-12T01,131,1,0,0,0,0,1,0,0,1,0,0,0,1,2,0,0,7,1,0,0,0,6,0,0,0,0,6,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,1,0,1,0,0,87,0,0,0,0,0
2023-09-12T02,62,4,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,8,0,0,1,0,4,0,0,0,0,3,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,5,0,0,0,0,0,0,0,1,0,0,27,0,0,0,0,0
2023-09-12T03,55,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,4,0,0,0,0,4,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,1,0,0,31,0,0,0,0,0
2023-09-12T04,65,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,12,0,0,0,0,4,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2,0,0,0,0,1,0,0,0,1,6,0,0,0,0,0,0,0,2,0,0,28,0,0,0,0,0
2023-09-12T05,66,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,14,0,0,0,0,4,0,0,0,0,0,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,5,0,0,0,0,0,2,0,4,0,0,22,0,0,0,0,0
2023-09-12T06,80,3,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,7,0,0,0,0,17,0,0,0,0,4,0,0,0,0,0,1,0,0,2,2,0,0,0,1,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,1,0,4,0,0,24,0,0,0,0,0
2023-09-12T07,68,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,3,0,0,0,0,11,0,0,0,0,7,0,0,0,0,0,2,0,0,2,2,0,0,0,0,0,0,0,0,0,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,3,1,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,1,6,1,0,16,0,0,0,0,0
2023-09-12T08,74,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,16,0,0,0,0,9,0,0,0,0,0,2,0,0,2,3,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,2,0,1,0,0,1,0,1,0,0,0,1,5,0,0,0,0,0,1,1,3,0,0,14,0,0,0,0,0
2023-09-12T09,71,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,3,1,0,0,0,17,0,0,0,0,5,0,0,0,0,0,3,0,0,3,5,0,0,0,1,0,0,0,0,0,1,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,3,0,0,13,0,0,0,0,0
2023-09-12T10,81,2,0,0,0,0,2,0,0,0,0,0,2,0,1,0,0,3,1,0,1,0,15,0,0,0,0,10,1,0,0,0,0,2,0,0,2,2,0,0,0,1,0,1,0,0,0,0,0,0,4,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,5,0,0,0,0,0,1,0,2,0,0,17,0,0,0,1,0
