bucket,total,--,AE,AM,AO,AR,AT,AU,AZ,BA,BD,BE,BG,BO,BR,BY,CA,CH,CL,CM,CN,CO,CR,CV,CW,CZ,DE,DK,DO,EC,EE,EG,ES,ET,FI,FR,GB,GE,GR,GT,HK,HR,HU,ID,IE,IL,IM,IN,IQ,IR,IS,IT,JO,JP,KE,KG,KH,KM,KR,KZ,LA,LB,LK,LT,LU,LV,MA,MC,MD,ME,MK,MM,MN,MO,MR,MU,MW,MX,MY,NG,NL,NO,NP,NZ,PA,PH,PK,PL,PR,PT,PY,RO,RS,RU,RW,SC,SD,SE,SG,SI,SK,SV,TH,TR,TW,TZ,UA,UG,US,UY,VE,VN,ZA,ZW
2023-07-24T16,138,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,15,0,0,0,0,0,21,0,0,0,0,0,0,0,1,9,5,0,0,0,3,0,0,0,0,0,0,1,0,0,0,7,0,0,0,0,0,0,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,21,0,2,0,1,0,31,0,0,0,0,0
2023-07-24T17,166,3,0,0,0,0,0,1,0,0,0,3,0,0,0,0,3,2,0,0,15,1,0,0,0,0,34,0,0,0,0,0,1,0,0,10,9,0,0,0,1,0,0,0,0,0,0,4,0,0,0,8,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,8,0,0,0,0,0,0,1,0,0,0,0,0,2,1,0,0,0,6,0,0,0,16,1,1,0,2,0,30,0,0,0,0,0
2023-07-24T18,214,3,0,0,0,0,1,1,0,0,0,3,0,0,0,0,6,1,0,0,18,0,0,0,0,0,48,0,0,0,0,0,2,0,0,7,16,0,0,0,2,1,0,0,0,0,0,1,0,0,0,10,0,2,0,0,1,0,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,28,2,0,2,0,1,0,1,0,1,0,0,0,2,0,0,0,1,6,0,0,0,17,0,1,0,1,0,24,0,0,0,0,0
2023-07-24T19,184,3,0,0,0,1,1,0,0,1,0,1,0,0,0,0,9,0,0,0,21,0,0,0,0,0,34,0,0,0,0,0,0,0,0,10,8,0,0,0,2,0,0,0,1,0,0,0,0,0,0,5,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,2,0,0,0,1,0,2,0,1,0,0,0,3,0,0,0,2,5,0,0,0,7,0,1,0,0,0,44,0,0,0,0,0
2023-07-24T20,165,1,0,0,0,0,0,0,0,1,0,2,0,0,0,0,11,2,0,0,16,0,0,0,0,0,22,0,0,0,0,0,0,0,0,9,10,0,0,0,1,0,0,0,0,0,0,1,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,2,0,1,0,1,0,2,0,2,0,1,0,6,0,0,0,0,6,0,0,0,10,0,0,0,0,0,28,0,0,1,0,0
2023-07-24T21,163,2,0,0,0,2,0,0,0,0,0,1,0,0,0,0,4,2,0,0,16,0,0,0,0,1,12,0,0,0,0,0,2,1,0,9,12,0,1,0,2,0,0,0,0,0,0,1,0,0,0,14,0,2,0,0,0,0,3,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,6,1,0,0,0,0,0,0,0,0,0,1,0,4,0,0,0,0,6,0,0,0,8,1,2,0,1,0,44,0,0,0,0,0
2023-07-24T22,139,3,0,0,0,3,0,0,0,0,0,0,0,0,1,0,7,0,0,0,9,0,0,0,0,1,11,0,0,0,0,0,2,1,0,4,10,0,1,0,2,0,0,0,0,0,0,2,0,1,0,8,0,6,0,0,1,0,3,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,1,0,0,0,0,0,1,0,2,0,3,0,0,0,0,8,0,0,0,3,2,0,0,1,0,37,0,0,0,0,0
2023-07-24T23,116,2,0,0,0,2,0,0,0,0,0,1,0,0,0,0,14,0,0,0,6,0,0,0,0,0,11,0,0,0,0,0,2,0,0,4,5,0,0,0,4,0,0,0,0,0,0,1,0,1,0,3,0,3,0,0,0,0,2,0,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,2,0,1,0,0,0,1,0,0,0,2,0,0,0,0,7,0,0,0,2,1,1,0,0,0,29,0,0,0,1,0
2023-07-25T00,113,2,0,0,0,2,0,0,0,0,0,0,0,0,3,0,6,0,0,0,6,4,0,0,0,0,17,0,0,0,0,0,2,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,7,0,0,0,1,0,0,0,0,0,50,0,0,0,1,0
2023-07-25T01,101,3,0,0,0,1,0,0,0,0,0,0,0,0,0,0,10,0,1,0,9,2,0,0,0,0,7,1,0,0,0,0,0,0,0,3,4,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,3,0,0,0,0,1,0,0,0,0,0,0,0,2,0,0,0,0,6,0,0,0,3,0,0,0,1,0,32,0,0,2,0,0
