bucket,total,--,AE,AL,AR,AT,AU,BA,BB,BD,BE,BG,BH,BO,BR,BW,BY,CA,CD,CH,CL,CM,CN,CO,CR,CW,CY,CZ,DE,DK,DO,DZ,EC,EE,EG,ES,ET,FI,FR,GB,GH,GR,HK,HN,HR,HU,ID,IE,IL,IN,IQ,IR,IT,JM,JP,KE,KG,KH,KR,KW,KZ,LA,LB,LK,LT,LU,LV,MA,MC,MK,MM,MN,MO,MV,MX,MY,NC,NG,NL,NO,NP,NZ,PA,PE,PH,PK,PL,PT,PY,RO,RS,RU,RW,SA,SC,SD,SE,SG,SI,SK,TH,TN,TR,TT,TW,UA,US,UY,UZ,VE,VN,ZA
2023-12-25T08,81,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,16,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,2,5,0,0,1,1,0,0,0,0,0,1,0,0,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,3,0,0,1,0,5,0,0,0,0,0,9,0,0,0,0,0,0,2,0,20,0,0,0,0,1
2023-12-25T09,73,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,14,0,0,0,0,0,5,0,0,0,0,0,0,1,0,0,2,3,0,0,2,1,0,1,0,0,0,1,0,0,3,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,3,0,0,1,0,0,0,0,4,0,0,1,0,2,0,0,0,0,0,6,0,0,0,0,0,0,0,0,15,0,0,0,1,0
2023-12-25T10,74,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,2,0,1,0,0,3,0,0,0,0,0,11,0,0,0,0,0,0,1,0,0,4,6,0,0,0,1,0,0,0,0,0,1,0,0,8,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,1,0,1,0,0,2,0,3,0,0,0,0,0,6,0,0,1,0,0,0,0,0,15,0,0,0,1,0
2023-12-25T11,73,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,6,0,0,0,0,0,6,0,0,0,0,0,0,3,0,0,4,3,0,0,2,1,0,0,1,0,0,2,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,1,0,2,0,0,1,0,1,0,0,0,0,1,5,0,0,2,0,0,0,4,0,13,0,0,0,0,0
2023-12-25T12,95,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0,0,3,0,0,0,0,0,11,0,0,0,0,1,0,0,0,0,0,6,0,0,0,1,0,0,1,0,0,1,0,0,2,0,0,0,0,0,1,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,1,0,0,0,8,0,0,0,0,0,0,0,4,0,0,3,0,5,0,0,0,0,2,5,0,0,8,0,0,0,7,0,18,0,0,0,1,0
2023-12-25T13,102,2,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,4,0,0,0,0,0,13,1,0,0,0,0,0,0,0,0,7,6,0,0,2,1,0,0,0,0,0,1,0,0,4,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,6,0,0,0,0,0,1,0,1,0,0,3,0,3,0,0,0,0,0,5,0,0,14,0,0,0,6,0,17,0,0,0,0,0
2023-12-25T14,121,2,0,0,0,0,0,0,0,0,0,1,0,0,3,0,0,5,0,0,0,0,8,0,0,0,0,0,14,0,0,0,0,0,0,1,0,0,6,6,0,0,4,1,0,0,2,0,0,0,0,0,7,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,2,0,1,0,0,2,0,1,0,0,0,0,0,5,0,0,19,0,0,0,6,0,18,0,0,0,0,0
2023-12-25T15,127,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,5,0,1,0,0,5,0,0,1,0,0,17,0,0,0,0,0,0,1,0,0,5,6,0,0,1,1,0,0,1,0,0,1,0,0,7,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,5,0,0,0,0,0,1,0,1,0,0,4,0,5,0,0,0,0,1,6,0,0,11,0,0,0,5,0,30,0,0,0,0,1
2023-12-25T16,154,1,1,0,0,0,0,0,0,0,0,1,0,0,3,0,0,5,0,2,0,0,16,0,0,0,0,0,29,0,0,0,0,0,0,0,0,0,12,7,0,0,3,1,0,0,0,0,0,2,0,0,11,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,3,0,0,1,0,0,2,0,3,0,0,0,0,6,0,0,0,0,1,6,0,0,11,0,0,0,2,0,21,0,0,0,2,0
2023-12-25T17,160,4,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,1,0,0,17,0,0,0,0,0,28,1,0,0,0,0,0,2,0,0,9,4,0,0,2,1,0,1,0,0,0,0,0,1,16,0,2,0,0,0,0,0,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,1,0,2,1,0,2,0,6,1,0,0,0,1,6,0,0,14,0,0,0,2,0,20,0,0,0,0,1
