bucket,total,--,AE,AM,AR,AT,AU,BA,BD,BE,BG,BO,BR,BW,CA,CH,CL,CM,CN,CO,CR,CZ,DE,DK,DO,DZ,EC,EE,EG,ES,ET,FI,FR,GB,GL,GR,GT,HK,HR,HU,ID,IE,IL,IN,IR,IT,JP,KH,KR,KW,KZ,LA,LT,LV,LY,MA,MC,MD,MK,MM,MU,MW,MX,MY,NG,NL,NO,NZ,PE,PH,PK,PL,PT,PY,RO,RS,RU,RW,SC,SE,SG,SI,SK,SV,TG,TH,TR,TW,TZ,UA,US,UY,UZ,VE,VN,ZA
2023-06-19T17,196,3,0,0,0,0,0,0,1,0,0,0,0,0,4,3,0,0,7,0,0,0,36,1,0,0,0,0,0,3,0,2,8,18,0,0,0,0,0,0,1,0,0,0,0,8,2,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,0,0,0,0,0,0,0,0,0,0,2,0,0,1,5,0,2,0,0,9,1,1,0,0,57,0,0,0,0,0
2023-06-19T18,202,4,0,0,1,0,0,0,1,0,0,0,0,0,8,3,0,0,8,0,0,3,43,0,0,0,0,0,0,7,0,0,13,21,0,0,0,0,0,0,0,0,1,0,0,4,4,0,3,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,21,0,0,0,0,0,4,1,0,0,0,4,0,0,1,6,0,0,0,0,8,1,1,0,0,30,0,0,0,0,0
2023-06-19T19,171,2,1,0,1,0,0,0,1,4,0,0,1,0,2,2,0,0,7,0,0,2,30,0,0,0,0,0,0,4,0,0,13,14,0,0,0,0,0,0,0,0,1,1,0,8,2,0,3,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,17,0,0,0,0,0,1,0,0,1,0,4,0,0,2,5,0,1,0,0,11,1,0,0,0,28,0,0,0,0,0
2023-06-19T20,145,3,0,0,1,0,0,0,1,2,0,0,0,0,4,0,0,0,9,0,0,1,24,0,0,0,0,0,0,4,0,0,9,15,0,0,0,0,0,0,0,0,3,0,0,20,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0,0,0,2,0,0,1,0,2,0,0,0,7,0,0,0,0,3,3,0,0,1,18,0,0,0,0,0
2023-06-19T21,141,6,0,0,1,0,0,0,1,2,0,0,0,0,4,1,1,0,3,0,0,0,20,0,0,0,0,0,0,2,0,0,5,13,0,0,0,0,0,0,0,0,0,0,0,13,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,3,1,0,1,0,2,0,0,1,5,0,0,0,0,2,2,0,0,0,41,0,0,0,1,0
2023-06-19T22,110,3,0,0,1,0,0,0,1,1,0,0,2,0,5,1,1,0,5,0,0,0,11,0,0,0,0,0,0,1,0,1,2,10,0,0,0,2,0,0,0,0,0,1,1,9,2,0,2,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,11,0,0,0,0,0,0,1,0,1,0,1,0,0,0,5,0,0,0,0,2,0,0,0,1,23,0,0,0,1,0
2023-06-19T23,104,2,0,0,1,0,0,0,1,0,0,0,0,0,11,0,2,0,5,0,0,0,5,0,0,0,0,0,0,1,0,0,2,7,0,0,0,2,0,0,0,0,0,1,1,8,4,0,2,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,1,0,0,0,2,0,0,0,5,0,0,0,0,0,0,0,0,0,35,0,0,0,1,0
2023-06-20T00,73,1,0,0,1,0,0,0,1,0,1,0,0,0,6,0,0,0,7,0,0,0,3,0,0,0,0,0,0,1,0,0,2,4,0,0,0,0,0,0,0,0,0,0,1,3,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,2,0,0,0,6,0,0,0,0,0,0,0,0,0,29,0,0,0,0,0
2023-06-20T01,80,2,0,0,2,0,0,0,1,1,0,0,3,0,12,0,0,0,9,0,0,0,3,0,0,0,0,0,0,1,0,0,3,3,0,1,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,1,0,0,0,6,0,0,0,0,1,1,0,0,1,23,0,0,0,0,0
2023-06-20T02,92,1,2,0,2,0,0,0,1,0,0,0,2,0,7,0,0,0,8,0,0,0,6,0,0,0,0,0,0,1,0,0,2,3,0,0,0,0,0,0,0,0,0,1,0,1,5,0,3,0,0,0,1,0,0,0,0,0,1,0,0,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,2,0,0,0,8,0,0,0,0,1,0,1,0,0,30,0,0,0,0,0
