bucket,total,--,AE,AL,AM,AR,AT,AU,AZ,BA,BD,BE,BG,BR,BY,CA,CH,CL,CN,CO,CW,CY,CZ,DE,DK,DO,EC,EG,ES,ET,FI,FR,GB,GE,GR,HK,HR,HU,ID,IE,IL,IN,IR,IT,JP,KE,KG,KH,KR,KZ,LB,LK,LT,LU,LV,MA,MC,MK,MM,MO,MU,MX,MY,NG,NL,NO,NZ,PA,PE,PH,PK,PL,PS,PT,RO,RS,RU,RW,SC,SE,SG,SK,SN,SV,SZ,TG,TH,TN,TR,TT,TW,TZ,UA,UG,US,UY,UZ,VE,VN,ZA,ZW
2023-05-01T09,122,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,24,1,0,0,0,17,1,0,0,0,0,0,0,2,6,0,0,1,0,0,0,0,0,1,0,15,2,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,1,0,0,2,0,0,0,6,2,0,0,0,0,5,0,2,0,3,0,0,0,17,0,0,0,0,0,0
2023-05-01T10,86,1,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,9,0,0,0,0,16,0,0,0,0,1,0,0,5,2,0,0,0,0,0,0,0,0,0,0,8,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,1,0,0,0,1,1,0,1,0,0,1,6,0,0,0,0,0,4,0,1,0,3,0,0,0,15,0,0,0,0,0,0
2023-05-01T11,106,3,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,8,0,0,0,0,17,0,0,0,0,2,0,0,4,4,0,0,0,0,0,0,0,0,1,0,6,3,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,1,0,0,1,0,0,2,7,0,0,0,0,0,5,0,2,0,4,0,0,0,23,0,0,0,0,1,0
2023-05-01T12,96,1,0,1,0,0,1,0,0,0,0,0,0,0,0,4,0,0,7,0,0,0,0,19,0,0,0,0,0,0,0,7,3,0,0,1,0,0,1,0,0,1,0,4,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,2,0,0,1,7,0,0,0,0,0,5,0,1,1,4,0,1,0,13,0,0,0,0,0,0
2023-05-01T13,116,4,0,0,0,0,1,2,0,0,0,0,0,0,0,1,0,0,7,0,0,0,0,23,0,0,1,0,1,0,2,7,7,0,0,2,0,1,0,0,0,0,0,8,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,7,0,0,0,0,0,7,0,1,0,5,0,1,0,16,0,0,0,0,0,0
2023-05-01T14,126,3,0,0,0,2,0,0,0,0,0,1,0,1,1,0,0,0,6,0,0,0,0,32,0,0,1,0,1,0,1,6,9,0,0,2,0,0,0,0,0,0,0,13,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,2,0,0,1,5,0,0,0,0,0,7,0,1,0,4,0,0,0,12,0,0,0,1,0,0
2023-05-01T15,160,3,0,0,0,1,0,0,0,0,0,0,0,0,2,6,1,0,3,0,0,0,0,25,1,0,0,0,3,0,2,5,14,0,1,1,1,1,0,0,0,0,0,17,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,8,0,0,0,0,1,0,1,0,2,0,0,3,0,0,2,7,0,0,0,0,0,13,0,0,0,4,0,0,0,28,0,0,0,0,0,0
2023-05-01T16,172,3,0,0,0,0,1,0,0,0,0,1,0,2,0,2,1,1,3,0,0,0,0,42,2,0,0,0,2,0,1,16,12,0,0,0,1,1,0,0,0,1,0,22,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,1,10,0,0,0,0,1,0,0,0,2,1,0,0,0,0,6,7,0,0,0,0,0,9,0,1,0,3,0,0,0,11,0,0,0,2,0,0
2023-05-01T17,178,2,0,0,0,0,0,0,0,0,0,1,0,2,0,5,2,2,2,0,0,0,0,43,1,0,0,0,4,0,0,7,23,0,0,0,0,0,0,0,0,1,0,20,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,1,0,0,0,1,0,2,0,2,0,0,3,0,0,4,5,0,0,0,0,0,8,0,2,0,2,0,0,0,15,0,0,0,0,0,0
2023-05-01T18,191,1,0,0,0,0,0,0,0,0,0,1,0,1,1,11,1,2,1,0,0,0,1,53,1,0,0,0,5,0,0,11,18,0,0,0,0,0,0,0,1,0,1,12,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27,1,0,0,0,1,0,0,0,2,0,0,1,0,0,5,5,0,0,0,0,0,8,0,1,0,0,0,1,0,16,0,0,0,0,0,0
